	Nome Interno do Anúncio	Canal	Tipo de Acomodação	Porte	Atendecência Reserva (dias)	Data de Criação	Chegada	Data de checkout	Número de Noites	Adults Count	Children Count	Infants Count	Total de Hóspedes	Total da Reserva	Total da reserva por hospede	Total da reserva por noite	Valor por Noite	Ganhos	Ganho por hospede	Ganho por Noite	Comissão Plataforma	Bairro	Status da Reserva	OTA's external code
448	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	5	2023-07-01	2023-07-06	2023-07-09	3	4	0	0	4	1368.14	342.035	456.05	456.05	1162.92	290.73	387.64	205.22	Ipanema	Confirmada	HMFBRHDCZZ
449	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	78	2023-04-19	2023-07-06	2023-07-09	3	5	0	0	5	2394.26	478.85200000000003	798.09	798.09	2035.12	407.02	678.37	359.14	Ipanema	Confirmada	HMZNCJQHNE
450	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	2	2023-07-03	2023-07-05	2023-07-08	3	1	0	0	1	581.46	581.46	193.82	193.82	494.24	494.24	164.75	87.22	Ipanema	Confirmada	HMJNDHESQS
451	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	10	2023-06-21	2023-07-01	2023-07-05	4	2	0	0	2	855.09	427.545	213.77	213.77	726.83	363.42	181.71	128.26	Ipanema	Confirmada	HMZERM28WR
452	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	0	2023-07-01	2023-07-01	2023-07-03	2	2	0	0	2	752.49	376.245	376.24	376.24	639.62	319.81	319.81	112.87	Leblon	Confirmada	HMDCRX2ACY
453	300 metros da praia em Ipanema.	Airbnb	Quarto	Quarto	1	2023-06-29	2023-06-30	2023-07-03	3	1	0	0	1	456.07	456.07	152.02	152.02	387.66	387.66	129.22	68.41	Ipanema	Confirmada	HMR3MCQXHF
454	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	2	2023-06-28	2023-06-30	2023-07-02	2	1	0	0	1	741.08	741.08	370.54	370.54	629.92	629.92	314.96	111.16	Leblon	Confirmada	HM5HP5QMKF
455	Ipanema à 300 m da Praia	Airbnb	Quarto	Quarto	13	2023-06-16	2023-06-29	2023-07-07	8	1	0	0	1	861.48	861.48	107.68	107.68	732.26	732.26	91.53	129.22	Ipanema	Confirmada	HMMZA8EBYC
456	Suíte em Ipanema 300m da praia	Airbnb	Quarto	Quarto	23	2023-06-03	2023-06-26	2023-07-02	6	2	0	0	2	1088.81	544.405	181.47	181.47	925.49	462.74	154.25	163.32	Ipanema	Confirmada	HMKSED8KHH
457	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	1	2023-06-25	2023-06-26	2023-06-30	4	1	0	0	1	627.07	627.07	156.77	156.77	533.01	533.01	133.25	94.06	Ipanema	Confirmada	HMR5K8SKFH
458	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	1	2023-06-25	2023-06-26	2023-06-28	2	2	0	0	2	661.26	330.63	330.63	330.63	562.07	281.04	281.04	99.19	Leblon	Confirmada	HMHAHJW5W9
459	Quarto solteiro Ipanema	Airbnb	Quarto	Quarto	1	2023-06-24	2023-06-25	2023-07-04	9	1	0	0	1	1297.32	1297.32	144.15	144.15	1102.72	1102.72	122.52	194.6	Ipanema	Confirmada	HMYMXB84TR
460	Apartamento Leblon Vista Mar!	Airbnb	Espaço Inteiro	Pequeno	3	2023-06-21	2023-06-24	2023-07-05	11	1	0	0	1	3688.05	3688.05	335.28	335.28	3134.84	3134.84	284.99	553.21	Leblon	Confirmada	HMM4YTBWNP
461	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	2	2023-06-22	2023-06-24	2023-06-26	2	2	0	0	2	519.89	259.945	259.94	259.94	441.91	220.96	220.96	77.98	Ipanema	Confirmada	HMD2S8YAAX
462	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	6	2023-06-17	2023-06-23	2023-06-25	2	2	0	0	2	684.07	342.035	342.04	342.04	581.46	290.73	290.73	102.61	Leblon	Confirmada	HMFC4SW85H
